Customer,Date,Dc.no,Part.no,Part description,Qty,Rate,Value,Fwt,Thick,Target  Manpower,variation Manpower,Actual Manpower,Target RawMaterial(Cost),variation RawMaterial,Actual RawMaterial,Target Machinepower(Cost),variation Machine power,Actual Machine power,Target Overhead(Cost)or Profit,variation overhead ,Actual Overhead or profit,Unnamed: 22
Company D,01/11/2022,3736,5610682642XC,BRACKET,8.00,415.00,"3,320.00",2.042,5 HR,398.4,1.618224355,400.0182244,1992.0,-1.660169227,1990.339831,431.6,1.857972006,433.457972,498.0,-0.6615509249,497.3384491,1.0
Company D,01/11/2022,3736,5611681290XC,JOINT,4.00,208.00,832.00,0.386,6 HR,99.84,0.3283819615,100.168382,499.2,1.616711284,500.8167113,108.16,-0.6883577723,107.4716422,124.8,0.7722583457,125.5722583,1.0
Company D,01/11/2022,3736,5614383751XC,PLATE,2.00,845.00,"1,690.00",4.299,6 CR,202.8,0.4943540138,203.294354,1014.0,2.864498864,1016.864499,219.7,0.3080787872,220.0080788,253.5,1.894344797,255.3943448,1.0
Company D,01/11/2022,3736,5614384411XC,BRACKET,3.00,"3,492.00","10,476.00",18.628,"5,6 HR",1257.12,7.851383738,1264.971384,6285.6,0.4930279015,6286.093028,1361.88,-0.5219396266,1361.35806,1571.4,3.495455093,1574.895455,1.0
Company D,01/11/2022,3737,561438A760XC,COVER,3.00,421.00,"1,263.00",1.572,"2,5 CR",151.56,-3.305798953,148.254201,757.8,1.491079612,759.2910796,164.19,-3.419070716,160.7709293,189.45,1.497983223,190.9479832,1.0
Company D,01/11/2022,3737,5615467131XC,STAY,8.00,879.00,"7,032.00",4.585,10 HR,843.84,2.41325846,846.2532585,4219.2,1.176065791,4220.376066,914.16,2.108181789,916.2681818,1054.8,1.399212516,1056.199213,1.0
Company D,01/11/2022,3737,5615487120XC,PLATE,4.00,857.00,"3,428.00",4.53,10 HR,411.36,2.729868781,414.0898688,2056.8,1.854451847,2058.654452,445.64,6.93517254,452.5751725,514.2,1.451921541,515.6519215,1.0
Company D,01/11/2022,3737,5616185680XC,BRACKET,5.00,569.00,"2,845.00",2.637,10 HR,341.4,2.034964143,343.4349641,1707.0,-3.036844458,1703.963156,369.85,2.815785014,372.665785,426.75,4.001264499,430.7512645,1.0
Company D,01/11/2022,3737,5618785151XC,PLATE,11.00,784.00,"8,624.00",1.346,10 HR,1034.88,-3.164166507,1031.715833,5174.4,2.742533893,5177.142534,1121.12,0.1167699105,1121.23677,1293.6,-1.467404349,1292.132596,1.0
Company D,01/11/2022,3737,5618988520XC,PLATE,6.00,381.00,"2,286.00",1.077,"3,5 HR",274.32,4.032230242,278.3522302,1371.6,-2.118474646,1369.481525,297.18,-1.521398217,295.6586018,342.9,5.970736624,348.8707366,1.0
Company D,01/11/2022,3737,5691682120,PLATE,2.00,126.00,252.00,0.374,5 HR,30.24,-2.411259713,27.82874029,151.2,2.316196545,153.5161965,32.76,-4.482456559,28.27754344,37.8,-7.285888064,30.51411194,1.0
Company D,01/11/2022,3738,5610682890XC,COVER,4.00,346.00,"1,384.00",2.323,2 CR,166.08,2.62119352,168.7011935,830.4,-1.75528369,828.6447163,179.92,-3.3512608,176.5687392,207.6,4.590006679,212.1900067,1.0
Company D,01/11/2022,3738,5610683190XC,BRACKET,25.00,57.00,"1,425.00",0.06,4 HR,171.0,3.987883169,174.9878832,855.0,-1.465004714,853.5349953,185.25,-3.840837076,181.4091629,213.75,-0.3100222817,213.4399777,1.0
Company D,01/11/2022,3738,5614383751XC,PLATE,8.00,835.00,"6,680.00",4.299,6 CR,801.6,-0.7585253012,800.8414747,4008.0,5.312472971,4013.312473,868.4,-4.598803391,863.8011966,1002.0,-2.405853045,999.594147,1.0
Company D,01/11/2022,3738,561438A760XC,COVER,1.00,419.00,419.00,1.572,"2,5 CR",50.28,-0.4466816303,49.83331837,251.4,0.1968179812,251.596818,54.47,0.4318115905,54.90181159,62.85,-0.7618231687,62.08817683,1.0
Company D,01/11/2022,3738,5616185631XC,BRACKET,3.00,407.00,"1,221.00",2.389,10 HR,146.52,-2.143021265,144.3769787,732.6,-2.970765686,729.6292343,158.73,-1.0591337,157.6708663,183.15,0.2557296493,183.4057296,1.0
Company D,01/11/2022,3738,5690481330XC,WASHER,2.00,184.00,368.00,0.793,5 HR,44.16,1.297187308,45.45718731,220.8,-0.337612602,220.4623874,47.84,-2.221513069,45.61848693,55.2,-2.202225267,52.99777473,1.0
Company E,01/11/2022,3739,M.S.S,M.S.SCRAP,"14,580.00",43.00,"626,940.00",-,All Thick,75232.8,-1.240584036,75231.55942,376164.0,-0.08833721774,376163.9117,81502.2,4.327210918,81506.52721,94041.0,0.6172999252,94041.6173,1.0
Company A,01/11/2022,3740,5A3031234,SETTING BRACKET COMP,7.00,431.00,"3,017.00",1.53,4 HR,362.04,-0.1144891726,361.9255108,1810.2,0.3195088367,1810.519509,392.21,-4.040326465,388.1696735,452.55,-0.1675177744,452.3824822,1.0
Company A,01/11/2022,3740,5A3031236,SETTING BRACKET COMP,7.00,431.00,"3,017.00",1.53,4 HR,362.04,0.8910668713,362.9310669,1810.2,2.651940464,1812.85194,392.21,2.3964496,394.6064496,452.55,2.526821208,455.0768212,1.0
Company A,01/11/2022,3740,5E1801452,CAN DRIVE TENSIONER,49.00,275.00,"13,475.00",0.58,6 HR,1617.0,1.081689863,1618.08169,8085.0,-0.1038009305,8084.896199,1751.75,1.135899258,1752.885899,2021.25,1.634412986,2022.884413,1.0
Company A,01/11/2022,3741,5A3030819,FRONT CABLE CHANNEL,10.00,127.94,"1,279.40",0.326,1.5 CR,153.528,4.767118122,158.2951181,767.64,0.8969849268,768.5369849,166.322,-0.7177677178,165.6042323,191.91,1.288017162,193.1980172,1.0
Company A,01/11/2022,3741,5A3030830,FRONT CABLE CHANNEL,10.00,95.70,957.00,0.2,1.5 CR,114.84,-1.293898563,113.5461014,574.2,-5.314351126,568.8856489,124.41,-3.779403342,120.6305967,143.55,2.265405883,145.8154059,1.0
Company A,01/11/2022,3741,5C1030515,COVER COMPLETE LH-CY,31.00,120.91,"3,748.21",0.62,1.5 CR,449.7852,-5.560698624,444.2245014,2248.926,0.5943151085,2249.520315,487.2673,-0.07673615202,487.1905638,562.2315,2.583400336,564.8149003,
Company A,01/11/2022,3741,5D3102090,EAD CONNECTOR PLATE,20.00,192.47,"3,849.40",1.15,1.5 CR,461.928,3.350530341,465.2785303,2309.64,-3.838288506,2305.801711,500.422,-2.645534668,497.7764653,577.41,1.885758168,579.2957582,
Company A,01/11/2022,3741,5D3131590,WIPER LEVER,4.00,161.00,644.00,0.95,3 CR,77.28,1.628019827,78.90801983,386.4,1.905989486,388.3059895,83.72,4.242722183,87.96272218,96.6,-0.1321835976,96.4678164,
Company A,01/11/2022,3741,5D3131590,WIPER LEVER,35.00,166.40,"5,824.00",0.95,3 CR,698.88,-2.538266276,696.3417337,3494.4,2.117972519,3496.517973,757.12,3.286515656,760.4065157,873.6,2.416621818,876.0166218,
Company A,01/11/2022,3741,5F3270015,BELT CLOSING COVER W,17.00,358.44,"6,093.48",0.586,1 CR,731.2176,2.4637596,733.6813596,3656.088,-4.94867215,3651.139328,792.1524,-1.112160276,791.0402397,914.022,-0.563512204,913.4584878,
Company A,01/11/2022,3742,5E1750510,RECTANGULAR PIPE WIT,12.00,"1,778.79","21,345.48",11.13,1.5 CR,2561.4576,-4.70810944,2556.749491,12807.288,6.301363786,12813.58936,2774.9124,1.512119666,2776.42452,3201.822,-1.730772387,3200.091228,
Company A,01/11/2022,3743,5C1770211,CENTRAL DUCT COMPLET,8.00,"2,621.92","20,975.36",9.6,"1,2,3,4  CR",2517.0432,-2.630624827,2514.412575,12585.216,0.005903248217,12585.2219,2726.7968,-4.916387837,2721.880412,3146.304,0.1009993403,3146.404999,
Company A,01/11/2022,3744,5F2090294,TOP DOOR HEADSTOCK A,10.00,"1,720.06","17,200.60",7.25,"1.5,2,4 CR",2064.072,-3.265784858,2060.806215,10320.36,2.731858077,10323.09186,2236.078,0.02634148085,2236.104341,2580.09,0.9770613193,2581.067061,
Company A,01/11/2022,3745,542197790,R.D ROLLER UNDER DUC,5.00,"1,589.94","7,949.70",4.3,1 CR,953.964,-0.958227079,953.0057729,4769.82,-1.229495175,4768.590505,1033.461,-3.643954858,1029.817045,1192.455,-4.772272926,1187.682727,
Company A,01/11/2022,3746,5E1836330,CAN PUSHING PLATE CO,11.00,820.00,"9,020.00",2.7,1.6 CR,1082.4,5.635658486,1088.035658,5412.0,-3.212208917,5408.787791,1172.6,3.898511035,1176.498511,1353.0,2.785268679,1355.785269,
Company A,01/11/2022,3746,5E1836410,SECOND RESERVE CAN S,4.00,"4,718.00","18,872.00",25.71,1.6 CR,2264.64,-0.4606287506,2264.179371,11323.2,-1.513357024,11321.68664,2453.36,-2.492408907,2450.867591,2830.8,-1.90295168,2828.897048,
Company A,01/11/2022,3747,542192296,BRUSH DUCT DOOR COMP,2.00,"1,532.99","3,065.98",6.4,"1,1.5 CR",367.9176,-1.794808655,366.1227913,1839.588,0.05608187849,1839.644082,398.5774,1.657058389,400.2344584,459.897,1.482323487,461.3793235,
Company A,01/11/2022,3748,5C1170954,TOP COVER COMPLETE,10.00,916.92,"9,169.20",4.61,1.5 CR,1100.304,-3.360472264,1096.943528,5501.52,0.7144985122,5502.234499,1191.996,1.232423049,1193.228423,1375.38,2.754266318,1378.134266,
Company B,02/11/2022,3749,56916613050,SPLASH GUARD KIT (ST,1.00,"64,622.00","64,622.00",312.7,2 CR,7754.64,2.859418932,7757.499419,38773.2,1.517157256,38774.71716,8400.86,0.1006215982,8400.960622,9693.3,-1.06783905,9692.232161,
Company B,02/11/2022,3749,56919102520,COOLANT TANK KIT  (S,1.00,"13,916.00","13,916.00",56.372,2 CR,1669.92,-2.302424101,1667.617576,8349.6,1.200940969,8350.800941,1809.08,-2.396913486,1806.683087,2087.4,3.115776497,2090.515776,
Company A,02/11/2022,3750,5D3450530,BOTTOM CAN PLATE COM,5.00,"4,671.48","23,357.40",29,"4 CR,4 HRPO",2802.888,0.7337484812,2803.621748,14014.44,2.352710149,14016.79271,3036.462,-0.1766788407,3036.285321,3503.61,2.666183105,3506.276183,
Company A,02/11/2022,3751,5D3470010,CAN PLATE COMPL,6.00,"2,873.93","17,243.58",18.24,4 CR,2069.2296,0.2201472856,2069.449747,10346.148,-5.187823198,10340.96018,2241.6654,4.013201096,2245.678601,2586.537,4.607551993,2591.144552,
Company A,02/11/2022,3752,5C1090030,COVER COMPLETE,12.00,719.72,"8,636.64",2.33,1 CR,1036.3968,3.949172737,1040.345973,5181.984,0.7992387855,5182.783239,1122.7632,4.046485776,1126.809686,1295.496,-2.055371126,1293.440629,
Company A,02/11/2022,3753,5F4273211,BOBBIN TROUGH COMPLE,69.00,723.31,"49,908.39",5.23,1.5 CR,5989.0068,-4.185075666,5984.821724,29945.034,-8.564101739,29936.4699,6488.0907,2.609868488,6490.700568,7486.2585,0.8602737165,7487.118774,
Company A,02/11/2022,3754,5E6350730,FRONT COVER RH WITH,5.00,"3,851.80","19,259.00",14.22,2.0 CR,2311.08,2.20757037,2313.28757,11555.4,-4.759640726,11550.64036,2503.67,-4.413430137,2499.25657,2888.85,-1.473735952,2887.376264,
Company A,02/11/2022,3755,5A3030790,SWING DUCT SENSOR HO,29.00,33.55,972.95,0.11,3 CR,116.754,-2.966289777,113.7877102,583.77,3.312870808,587.0828708,126.4835,-5.804417672,120.6790823,145.9425,5.084357617,151.0268576,
Company A,02/11/2022,3755,5C1700711,HOLDER COMPLETE,44.00,118.74,"5,224.56",0.26,2 CR,626.9472,4.424526372,631.3717264,3134.736,-1.041860415,3133.69414,679.1928,-3.00127383,676.1915262,783.684,3.161627591,786.8456276,
Company A,02/11/2022,3755,5C2700294,STOPPER PLATE,10.00,78.14,781.40,0.399,6 HRPO,93.768,7.382681559,101.1506816,468.84,3.676635157,472.5166352,101.582,-2.181010517,99.40098948,117.21,1.114722691,118.3247227,
Company A,02/11/2022,3755,5C2700294,STOPPER PLATE,11.00,73.18,804.98,0.399,6 HRPO,96.5976,-0.1090664786,96.48853352,482.988,-1.31812439,481.6698756,104.6474,-9.381810697,95.2655893,120.747,2.377249847,123.1242498,
Company A,02/11/2022,3755,5D3101030,TERMINAL BOX COVER,26.00,89.55,"2,328.30",0.699,1.5 CR,279.396,0.6009342075,279.9969342,1396.98,-4.092240277,1392.88776,302.679,0.05899512249,302.7379951,349.245,-0.09608519934,349.1489148,
Company A,02/11/2022,3755,5D3132770,CABLE CHANNEL TOP CO,2.00,170.54,341.08,1.1,1.5 CR,40.9296,-3.055903805,37.8736962,204.648,-0.6421444787,204.0058555,44.3404,-0.1438171784,44.19658282,51.162,-2.090605356,49.07139464,
Company A,02/11/2022,3755,5D3132770,CABLE CHANNEL TOP CO,8.00,176.03,"1,408.24",1.1,1.5 CR,168.9888,-0.1730964102,168.8157036,844.944,2.020715002,846.964715,183.0712,-1.282487574,181.7887124,211.236,-0.4466339745,210.789366,
Company A,02/11/2022,3755,5D3400110,VERTICAL SUPPORT BOT,50.00,56.82,"2,841.00",0.28,4 HR,340.92,-2.07110577,338.8488942,1704.6,-0.3486888101,1704.251311,369.33,1.027590139,370.3575901,426.15,1.333285939,427.4832859,
Company A,02/11/2022,3755,5E1001335,WORM BRACKET TOP COV,34.00,46.52,"1,581.68",0.351,4 HRPO,189.8016,1.097588774,190.8991888,949.008,0.6218504062,949.6298504,205.6184,-1.79582786,203.8225721,237.252,0.8439403017,238.0959403,
Company A,02/11/2022,3755,5F2030436,DOOR STOPPER,20.00,21.69,433.80,0.07,3 CR,52.056,0.3930124915,52.44901249,260.28,-0.7965143536,259.4834856,56.394,2.522678648,58.91667865,65.07,1.892365039,66.96236504,
Company A,02/11/2022,3756,5C1530471,CYLINDER HOLDER COMP,5.00,367.00,"1,835.00",1.66,6 HR,220.2,1.60935347,221.8093535,1101.0,-0.7377055058,1100.262294,238.55,1.860580898,240.4105809,275.25,0.5864193718,275.8364194,
Company A,02/11/2022,3757,SF5C2953231,CONNECTING DUCT COMP,10.00,969.87,"9,698.70",0.13,1.6 CR,1163.844,-0.6644357983,1163.179564,5819.22,3.713048988,5822.933049,1260.831,3.296408106,1264.127408,1454.805,-0.4987354884,1454.306265,
Company A,02/11/2022,3758,5F3270010,BELT CLOSING COVER-F,10.00,321.18,"3,211.80",0.44,1 CR,385.416,0.5084298275,385.9244298,1927.08,3.172575604,1930.252576,417.534,-0.7513192767,416.7826807,481.77,-2.512054821,479.2579452,
Company C,02/11/2022,3759,5G0353477,PIPE SUPPORT ASSEMBL,100.00,649.03,"64,903.00",1.517,"4 CR,4 HRPO,20 RUBBER",7788.36,6.51254174,7794.872542,38941.8,2.072794539,38943.87279,8437.39,2.804506163,8440.194506,9735.45,2.053212612,9737.503213,
Company C,02/11/2022,3760,501706650,HINGE RH ASSY.,80.00,98.00,"7,840.00",0.295,4 CR,940.8,6.631601189,947.4316012,4704.0,1.749651932,4705.749652,1019.2,5.142488117,1024.342488,1176.0,1.970143827,1177.970144,
Company C,02/11/2022,3760,501706651,HINGE LH,100.00,98.00,"9,800.00",0.295,4 CR,1176.0,3.575827509,1179.575828,5880.0,1.470678616,5881.470679,1274.0,-4.734829885,1269.26517,1470.0,5.900174583,1475.900175,
Company C,02/11/2022,3761,5B1070430,BACK FRAME RH COMPL,6.00,"4,842.33","29,053.98",35.91,3.5 CR,3486.4776,2.700643233,3489.178243,17432.388,-0.8602901898,17431.52771,3777.0174,3.692566111,3780.709966,4358.097,2.915027612,4361.012028,
Company C,02/11/2022,3762,5B1070432,BACK FRAME LH COMPL.,5.00,"4,842.33","24,211.65",35.91,"3,5 CR",2905.398,-3.810252414,2901.587748,14526.99,3.592886435,14530.58289,3147.5145,2.967393413,3150.481893,3631.7475,-4.654334292,3627.093166,
Company C,02/11/2022,3763,5A0102294,SHIM 1 THICK,500.00,15.28,"7,640.00",0.06,1.5 CR,916.8,5.896360216,922.6963602,4584.0,-2.387190114,4581.61281,993.2,-7.98530051,985.2146995,1146.0,2.706024715,1148.706025,
Company C,02/11/2022,3764,5G0533574,PLATE FOR TEE CONNEC,40.00,194.58,"7,783.20",1.22,3 CR,933.984,-1.788332053,932.1956679,4669.92,-3.791608274,4666.128392,1011.816,-3.346069845,1008.46993,1167.48,-6.592042403,1160.887958,
Company A,02/11/2022,3765,5E1850600,DELIVERY STRUCTURE 6,2.00,"54,121.00","108,242.00",308,3 CR,12989.04,-5.144782658,12983.89522,64945.2,5.991573784,64951.19157,14071.46,-0.3379436961,14071.12206,16236.3,2.283765135,16238.58377,
Company A,02/11/2022,3766,5E1850600,DELIVERY STRUCTURE 6,2.00,"54,121.00","108,242.00",308,3 CR,12989.04,5.775965513,12994.81597,64945.2,-0.9140489826,64944.28595,14071.46,-1.305931899,14070.15407,16236.3,-2.451982034,16233.84802,
Company D,02/11/2022,3767,5616185591XC,BRACKET,5.00,260.00,"1,300.00",1.17,10 HR,156.0,-0.9698141204,155.0301859,780.0,-1.705203486,778.2947965,169.0,3.936504848,172.9365048,195.0,-1.492300182,193.5076998,
Company D,02/11/2022,3767,5618481420XC,BRACKET (LH),4.00,612.00,"2,448.00",3.267,6 HR,293.76,0.1931371356,293.9531371,1468.8,-2.276160511,1466.523839,318.24,-1.528084771,316.7119152,367.2,-2.09587814,365.1041219,
Company D,02/11/2022,3767,5618982130XC,GUARD,5.00,879.00,"4,395.00",4.711,20 HR,527.4,0.2039690902,527.6039691,2637.0,-2.062614793,2634.937385,571.35,-0.2999511349,571.0500489,659.25,-7.403518392,651.8464816,
Company D,03/11/2022,3768,5610284760XC,BRACKET,2.00,378.00,756.00,2.419,6 HR,90.72,-1.034348288,89.68565171,453.6,1.180802062,454.7808021,98.28,8.455538263,106.7355383,113.4,-1.323032425,112.0769676,
Company D,03/11/2022,3768,5610284780XC,BRACKET,6.00,363.00,"2,178.00",2.326,6 HR,261.36,-0.7038170654,260.6561829,1306.8,2.294849362,1309.094849,283.14,-0.7737446707,282.3662553,326.7,0.8223258502,327.5223259,
Company D,03/11/2022,3768,5610284790XC,BRACKET,7.00,363.00,"2,541.00",2.326,6 HR,304.92,2.611156636,307.5311566,1524.6,-1.631314419,1522.968686,330.33,-3.063397371,327.2666026,381.15,-1.424182171,379.7258178,
Company D,03/11/2022,3768,5610682642XC,BRACKET,8.00,415.00,"3,320.00",2.042,5 HR,398.4,1.416164274,399.8161643,1992.0,-1.708777109,1990.291223,431.6,0.9989289289,432.5989289,498.0,0.3633983563,498.3633984,
Company D,03/11/2022,3768,5610682673XC,BRACKET,10.00,773.00,"7,730.00",3.704,"2,3,5 HR,6 ROD",927.6,0.8455445223,928.4455445,4638.0,0.6391062112,4638.639106,1004.9,-0.0957028032,1004.804297,1159.5,-0.7014245068,1158.798575,
Company D,03/11/2022,3768,5610682890XC,COVER,6.00,346.00,"2,076.00",2.323,2 CR,249.12,3.848510442,252.9685104,1245.6,-0.343526971,1245.256473,269.88,-0.6681857765,269.2118142,311.4,-0.6503685305,310.7496315,
Company D,03/11/2022,3768,5610683190XC,BRACKET,12.00,57.00,684.00,0.06,4 HR,82.08,-1.520166479,80.55983352,410.4,3.495120316,413.8951203,88.92,2.889044017,91.80904402,102.6,0.8745491907,103.4745492,
Company D,03/11/2022,3768,5611681290XC,JOINT,9.00,207.00,"1,863.00",0.386,6 HR,223.56,3.402766986,226.962767,1117.8,1.375218397,1119.175218,242.19,-2.139986891,240.0500131,279.45,3.856689515,283.3066895,
Company D,03/11/2022,3768,5614383731XC,PLATE,6.00,360.00,"2,160.00",2.153,10 HR,259.2,1.640252891,260.8402529,1296.0,0.5536078804,1296.553608,280.8,-5.701396332,275.0986037,324.0,0.5669393592,324.5669394,
Company D,03/11/2022,3769,5614384172XC,BRACKET,3.00,"1,061.00","3,183.00",3.565,10 HR,381.96,2.573130196,384.5331302,1909.8,-0.109681032,1909.690319,413.79,4.378237137,418.1682371,477.45,1.840555283,479.2905553,
Company D,03/11/2022,3769,5614384671XC,BRACKET,10.00,209.00,"2,090.00",0.66,6 HR,250.8,1.332858762,252.1328588,1254.0,3.214853864,1257.214854,271.7,1.600082051,273.3000821,313.5,1.260942591,314.7609426,
Company D,03/11/2022,3769,561438A130XC,PLATE,10.00,188.00,"1,880.00",0.964,10 HR,225.6,1.004607427,226.6046074,1128.0,-4.769490133,1123.23051,244.4,2.84185928,247.2418593,282.0,-1.585052056,280.4149479,
Company D,03/11/2022,3769,561438A240XC,BRACKET,8.00,132.00,"1,056.00",0.811,5 HR,126.72,-3.482564788,123.2374352,633.6,2.735191455,636.3351915,137.28,2.430046957,139.710047,158.4,2.578793404,160.9787934,
Company D,03/11/2022,3769,5614485310XC,BRACKET,4.00,78.00,312.00,0.306,2 CR,37.44,4.622016732,42.06201673,187.2,-2.034723177,185.1652768,40.56,3.640285481,44.20028548,46.8,-3.405410846,43.39458915,
Company D,03/11/2022,3769,5615467131XC,STAY,23.00,879.00,"20,217.00",4.585,10 HR,2426.04,6.210946141,2432.250946,12130.2,3.575268558,12133.77527,2628.21,-2.326635009,2625.883365,3032.55,-0.7120125305,3031.837987,
Company D,03/11/2022,3769,5615486562XC,BRACKET,12.00,"2,453.00","29,436.00",13.218,"5,6 HR",3532.32,-0.90755882,3531.412441,17661.6,-2.705338238,17658.89466,3826.68,4.987505051,3831.667505,4415.4,1.324401637,4416.724402,
Company D,03/11/2022,3769,5615487120XC,PLATE,9.00,857.00,"7,713.00",4.53,10 HR,925.56,2.629301982,928.189302,4627.8,-4.161900115,4623.6381,1002.69,1.1867529,1003.876753,1156.95,-0.4670875422,1156.482912,
Company D,03/11/2022,3770,5610385611XC,BRACKET,5.00,360.00,"1,800.00",1.697,6 HR,216.0,-2.449829511,213.5501705,1080.0,-0.7203271709,1079.279673,234.0,2.720732355,236.7207324,270.0,-2.459839282,267.5401607,
Company D,03/11/2022,3770,5616183531XC,BRACKET,2.00,471.00,942.00,3.111,10 HR,113.04,-0.1974900326,112.84251,565.2,-1.788355506,563.4116445,122.46,-2.190482708,120.2695173,141.3,-1.537800577,139.7621994,
Company D,03/11/2022,3770,5618785151XC,PLATE,5.00,784.00,"3,920.00",1.346,10 HR,470.4,-2.221736464,468.1782635,2352.0,-2.431207588,2349.568792,509.6,1.183229662,510.7832297,588.0,-0.4875893138,587.5124107,
Company D,03/11/2022,3770,5618988310XC,COVER,7.00,994.00,"6,958.00",3.269,"2.5 CR,5 HR",834.96,1.339339642,836.2993396,4174.8,-0.1891171852,4174.610883,904.54,-3.406129982,901.13387,1043.7,-1.984624818,1041.715375,
Company D,03/11/2022,3770,5618988590XC,BRACKET,9.00,430.00,"3,870.00",1.49,"3,5 HR",464.4,-4.635440737,459.7645593,2322.0,1.01389478,2323.013895,503.1,2.825770437,505.9257704,580.5,1.010648671,581.5106487,
Company D,03/11/2022,3770,5690682870,PLATE,9.00,73.00,657.00,0.125,5 HR,78.84,0.7835939234,79.62359392,394.2,-1.516971775,392.6830282,85.41,-1.135648524,84.27435148,98.55,0.2139810791,98.76398108,
Company D,03/11/2022,3770,5698687321XC,BRACKET,15.00,386.00,"5,790.00",2.06,5 HR,694.8,-0.2274668874,694.5725331,3474.0,1.209690434,3475.20969,752.7,0.1823860888,752.8823861,868.5,-0.274268212,868.2257318,
Company B,03/11/2022,3771,56916200810,CP MOUNTING BRACKET,3.00,"1,086.00","3,258.00",8.85,4 CR,390.96,-0.5369314941,390.4230685,1954.8,-0.164276474,1954.635724,423.54,0.9702484298,424.5102484,488.7,-3.528579652,485.1714203,
Company B,03/11/2022,3772,5S117800110,MANI FOLD BLOCK MOUN,5.00,92.00,460.00,0.45,4 HRPO,55.2,4.236478393,59.43647839,276.0,0.8919247641,276.8919248,59.8,0.6767130192,60.47671302,69.0,-2.240504072,66.75949593,
Company B,03/11/2022,3773,56919101610,CHIP TRAY ASSY,5.00,"2,811.00","14,055.00",8.1,"1.5 PERF,2 CR",1686.6,-1.641864918,1684.958135,8433.0,2.234498679,8435.234499,1827.15,4.761222994,1831.911223,2108.25,-3.091570141,2105.15843,
